config_0,config_1,config_2,config_3
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[-6.0127606 -1.907412  -1.3537258  4.0301685  1.4419926 -5.2777452],[ 5.0053563  4.755286  -2.4223452  3.8720636  2.6487393  4.680569 ],[ 0.2559319   4.464144   -1.1436889   3.7503445   1.5296917  -0.04134409],[ 0.7409612  -3.8839505   0.97137344  2.8086643  -5.109826    2.751216  ]
[ 0.1539621  4.268668  -1.186385  -2.016228   1.5049167  1.1596459],[ 5.116282  -1.4880497 -2.3071933 -2.5642486 -3.4721498  4.663774 ],[ 0.2614802  -1.8635786  -1.0817033   3.8016493   1.523304   -0.12630436],[-5.5540676   2.548024    0.85962546  2.863362   -5.4137535   2.9944706 ]
[ 0.1539621  4.268668  -1.186385  -2.016228   1.5049167  1.1596459],[ 5.116282  -1.4880497 -2.3071933 -2.5642486 -3.4721498  4.663774 ],[ 0.2614802  -1.8635786  -1.0817033   3.8016493   1.523304   -0.12630436],[-5.5540676   2.548024    0.85962546  2.863362   -5.4137535   2.9944706 ]
[ 0.1539621  4.268668  -1.186385  -2.016228   1.5049167  1.1596459],[ 5.116282  -1.4880497 -2.3071933 -2.5642486 -3.4721498  4.663774 ],[ 0.2614802  -1.8635786  -1.0817033   3.8016493   1.523304   -0.12630436],[-5.5540676   2.548024    0.85962546  2.863362   -5.4137535   2.9944706 ]
