config_0,config_1,config_2,config_3
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
[-4.6144724 -0.7189798  1.7584585  4.3527846 -1.5103571 -6.138471 ],[ 0.2695463  -0.29996675  1.6588665  -1.3865266   5.001873   -0.6401917 ],[ 1.5702803  -0.3676586   1.0720744  -0.74340105 -1.5847415   2.9383385 ],[-2.7270408 -1.2112274  2.1606221  1.0135472  2.3461242 -2.823765 ]
